st,customer lifetime value,response,coverage,education,effective to date,employmentstatus,gender,income,location code,marital status,monthly premium auto,months since last claim,months since policy inception,number of open complaints,number of policies,policy type,policy,renew offer type,sales channel,total claim amount,vehicle class,vehicle size,vehicle type,zone
nevada,9521.222806,no,extended,college,1/24/11,employed,m,27769,rural,married,121,24.0,78,0.0,6,special auto,special l3,offer4,agent,123.15416,suv,small,a,central
arizona,8869.619888,no,basic,college,2/21/11,employed,f,81350,rural,married,110,1.0,28,0.0,9,personal auto,personal l3,offer3,branch,228.185834,suv,large,a,central
oregon,4376.363592,yes,premium,bachelor,2/28/11,employed,f,63774,rural,divorced,111,18.0,63,0.0,1,personal auto,personal l3,offer2,agent,60.036683,four-door car,medsize,,north west
nevada,2926.886293,no,basic,college,2/22/11,employed,f,92381,urban,married,72,24.0,27,0.0,1,special auto,special l2,offer2,call center,234.774747,four-door car,medsize,a,central
california,24706.92011,no,basic,high school or below,1/7/11,medical leave,m,26307,urban,married,73,26.0,1,0.0,2,personal auto,personal l2,offer4,call center,313.192439,four-door car,medsize,,west region
california,9191.733549,no,basic,master,2/8/11,employed,f,23823,suburban,married,115,5.0,39,0.0,6,corporate auto,corporate l2,offer2,branch,567.48055,sports car,medsize,,west region
arizona,5776.338737,no,premium,high school or below,1/28/11,medical leave,f,27510,suburban,married,159,5.0,28,3.0,1,corporate auto,corporate l3,offer1,call center,871.457982,suv,small,a,central
california,9115.57169,no,basic,bachelor,2/15/11,employed,f,69588,rural,married,114,19.0,45,0.0,6,personal auto,personal l1,offer1,branch,173.080024,suv,medsize,,west region
california,4163.04081,no,basic,college,2/12/11,employed,f,43276,suburban,married,104,16.0,11,0.0,1,personal auto,personal l3,offer2,call center,499.2,suv,large,,west region
california,3945.241604,no,basic,college,1/5/11,medical leave,m,28855,suburban,married,101,12.0,59,0.0,1,personal auto,personal l2,offer3,call center,647.442031,suv,medsize,,west region
oregon,5176.730072,no,basic,high school or below,2/7/11,employed,m,41533,urban,married,65,2.0,46,0.0,9,corporate auto,corporate l2,offer3,agent,232.879766,four-door car,medsize,,north west
arizona,4492.23348,no,basic,bachelor,1/28/11,medical leave,f,21137,suburban,single,61,29.0,62,1.0,6,personal auto,personal l1,offer2,web,292.8,four-door car,medsize,,central
california,2880.348532,no,basic,college,1/5/11,employed,f,81565,urban,married,71,19.0,54,0.0,1,personal auto,personal l2,offer2,branch,190.642833,four-door car,medsize,a,west region
arizona,6182.618843,no,extended,high school or below,2/7/11,medical leave,m,20072,suburban,married,82,35.0,51,0.0,9,corporate auto,corporate l3,offer1,agent,473.266879,four-door car,medsize,,central
nevada,9799.175061,no,extended,college,1/3/11,medical leave,m,22166,suburban,married,126,10.0,22,0.0,6,personal auto,personal l3,offer1,web,604.8,suv,medsize,a,central
arizona,5790.565333,no,basic,master,2/3/11,employed,m,84551,rural,divorced,72,10.0,82,0.0,5,personal auto,personal l3,offer2,agent,28.92584,four-door car,large,a,central
arizona,5041.447024,no,basic,college,1/19/11,employed,m,61972,rural,married,64,2.0,52,2.0,5,personal auto,personal l1,offer4,call center,138.961963,four-door car,medsize,,central
arizona,5745.94334,no,basic,bachelor,1/22/11,employed,f,57740,urban,married,74,30.0,87,3.0,9,personal auto,personal l1,offer3,web,269.905129,four-door car,medsize,a,central
california,7664.219255,no,basic,college,1/23/11,employed,m,60184,rural,divorced,199,7.0,44,1.0,1,personal auto,personal l3,offer2,web,161.61574,luxury suv,medsize,,west region
california,3593.12645,no,extended,college,2/5/11,disabled,f,18213,suburban,divorced,96,12.0,43,1.0,1,corporate auto,corporate l2,offer1,branch,460.8,four-door car,large,a,west region
nevada,9863.502214,no,extended,master,2/28/11,employed,f,99654,rural,married,121,13.0,95,0.0,3,personal auto,personal l3,offer3,call center,272.788141,suv,medsize,a,central
california,5111.304579,no,basic,high school or below,2/13/11,employed,f,76448,suburban,married,63,9.0,13,0.0,3,personal auto,personal l3,offer3,web,302.4,four-door car,medsize,a,west region
arizona,2590.096027,no,basic,high school or below,1/3/11,employed,m,22398,suburban,married,67,,76,,1,personal auto,personal l1,offer1,agent,321.6,four-door car,large,a,central
arizona,2452.491364,no,basic,high school or below,1/25/11,employed,f,51085,suburban,married,62,4.0,58,1.0,1,personal auto,personal l3,offer3,call center,406.902001,two-door car,small,,central
arizona,19435.62924,no,extended,high school or below,2/1/11,employed,f,38688,suburban,single,249,22.0,6,0.0,3,special auto,special l3,offer1,agent,2294.631639,luxury car,medsize,a,central
oregon,2457.576007,no,basic,high school or below,1/27/11,employed,f,52926,suburban,married,61,2.0,92,0.0,1,personal auto,personal l3,offer1,call center,292.8,four-door car,medsize,,north west
,14019.83314,,basic,college,2/18/11,employed,m,31739,suburban,divorced,71,10.0,29,0.0,2,personal auto,personal l3,offer4,call center,469.882367,two-door car,small,,
arizona,5575.751228,no,basic,high school or below,1/26/11,employed,m,91416,rural,married,69,,39,,5,personal auto,personal l3,offer2,call center,109.904496,four-door car,medsize,,central
oregon,5651.396772,no,basic,bachelor,1/19/11,employed,m,44634,suburban,married,71,16.0,99,1.0,9,personal auto,personal l3,offer1,branch,396.035334,four-door car,small,a,north west
california,4556.068318,no,basic,bachelor,2/14/11,medical leave,m,25617,suburban,divorced,63,22.0,3,0.0,3,personal auto,personal l3,offer2,call center,302.4,two-door car,medsize,a,west region
arizona,5860.16743,no,basic,bachelor,2/1/11,employed,m,94527,rural,married,73,16.0,32,0.0,3,personal auto,personal l1,offer1,agent,41.464402,four-door car,medsize,a,central
oregon,2300.691547,yes,basic,bachelor,1/15/11,retired,m,25905,suburban,divorced,63,21.0,12,0.0,1,corporate auto,corporate l3,offer1,agent,302.4,four-door car,large,,north west
california,4950.250892,no,basic,high school or below,1/20/11,employed,f,27400,suburban,married,63,14.0,78,1.0,9,personal auto,personal l1,offer3,agent,302.4,four-door car,medsize,a,west region
washington,7507.455372,yes,basic,college,2/6/11,employed,m,60920,urban,single,64,,61,,2,personal auto,personal l3,offer2,agent,231.201886,two-door car,medsize,a,east
oregon,2867.312197,yes,extended,bachelor,1/3/11,retired,f,23376,suburban,divorced,78,19.0,18,0.0,1,personal auto,personal l3,offer2,call center,374.4,four-door car,medsize,a,north west
oregon,5427.174517,no,basic,college,2/11/11,medical leave,f,27677,suburban,married,72,10.0,82,1.0,3,personal auto,personal l3,offer2,agent,345.6,four-door car,medsize,,north west
arizona,12157.5413,no,extended,high school or below,1/7/11,employed,m,40432,suburban,married,77,21.0,66,0.0,2,personal auto,personal l3,offer3,agent,369.6,four-door car,medsize,a,central
oregon,26346.08582,no,extended,high school or below,1/20/11,employed,m,48268,suburban,divorced,223,28.0,26,0.0,2,personal auto,personal l2,offer1,web,1605.6,luxury suv,medsize,,north west
oregon,2364.43161,no,basic,college,1/18/11,employed,m,46264,urban,single,62,17.0,75,0.0,1,corporate auto,corporate l1,offer4,branch,199.37361,four-door car,medsize,,north west
arizona,9312.585034,no,premium,high school or below,2/13/11,employed,m,75986,rural,married,115,11.0,44,0.0,3,personal auto,personal l3,offer3,call center,89.119797,four-door car,medsize,,central
california,7750.120323,no,basic,college,2/23/11,employed,f,22668,rural,single,67,5.0,34,1.0,2,personal auto,personal l2,offer3,branch,33.718553,four-door car,medsize,a,west region
washington,2540.689797,no,basic,master,2/28/11,employed,m,42557,rural,single,65,4.0,35,0.0,1,personal auto,personal l3,offer4,agent,57.562324,four-door car,large,,east
oregon,3755.806897,no,extended,high school or below,1/4/11,employed,f,56178,suburban,married,94,1.0,39,0.0,1,personal auto,personal l3,offer2,branch,451.2,four-door car,medsize,,north west
oregon,32474.76977,no,basic,high school or below,1/22/11,employed,m,71449,suburban,divorced,102,17.0,7,0.0,2,personal auto,personal l3,offer4,call center,734.4,suv,small,a,north west
california,8349.523082,no,basic,bachelor,1/9/11,employed,m,45428,urban,divorced,109,,46,,3,corporate auto,corporate l3,offer1,call center,487.273964,suv,medsize,a,west region
oregon,8126.766397,no,basic,college,2/22/11,disabled,f,14616,suburban,married,107,,73,,3,personal auto,personal l3,offer1,agent,513.6,,,,north west
arizona,13466.92071,yes,basic,high school or below,2/23/11,disabled,f,11432,suburban,married,119,,9,,2,corporate auto,corporate l3,offer2,agent,571.2,,,,central
arizona,5210.348372,no,basic,bachelor,1/4/11,employed,m,89781,rural,single,66,7.0,89,0.0,5,special auto,special l2,offer1,agent,37.960537,,,a,central
california,7048.384055,no,basic,college,2/19/11,medical leave,m,24030,suburban,single,194,14.0,0,0.0,1,personal auto,personal l1,offer1,agent,970.688934,luxury suv,medsize,,west region
arizona,26770.44534,no,basic,college,1/23/11,employed,f,26335,urban,married,113,32.0,7,1.0,2,personal auto,personal l2,offer1,call center,355.818306,suv,large,,central
nevada,9549.113813,no,basic,high school or below,2/9/11,employed,f,55986,urban,married,119,3.0,60,0.0,9,personal auto,personal l1,offer1,agent,388.506303,suv,small,,central
washington,4331.460674,no,basic,high school or below,2/11/11,employed,f,82302,suburban,married,106,11.0,92,0.0,1,personal auto,personal l2,offer1,branch,722.178166,suv,medsize,,east
oregon,3289.120863,no,extended,college,1/29/11,employed,m,40097,rural,single,92,23.0,35,4.0,1,personal auto,personal l2,offer1,call center,227.221652,two-door car,medsize,,north west
oregon,2505.42043,no,basic,master,2/14/11,employed,f,60546,rural,single,63,21.0,71,0.0,1,personal auto,personal l3,offer2,branch,46.278027,,,a,north west
arizona,3417.953745,no,extended,high school or below,1/25/11,employed,f,72460,urban,married,85,9.0,76,0.0,1,personal auto,personal l2,offer2,call center,370.018108,four-door car,medsize,a,central
california,4700.583771,no,basic,college,2/18/11,employed,f,76694,suburban,married,117,34.0,23,0.0,1,personal auto,personal l1,offer4,agent,561.6,suv,medsize,a,west region
arizona,2471.528431,yes,basic,high school or below,1/15/11,employed,m,95697,rural,married,61,16.0,55,0.0,1,personal auto,personal l2,offer2,agent,114.273025,two-door car,medsize,a,central
arizona,10130.93442,no,extended,doctor,1/17/11,employed,f,59232,suburban,divorced,85,6.0,75,0.0,2,corporate auto,corporate l3,offer3,branch,408.0,two-door car,medsize,a,central
california,3419.108695,no,extended,high school or below,2/13/11,employed,m,40272,rural,married,86,8.0,64,0.0,1,personal auto,personal l3,offer3,agent,23.387192,two-door car,medsize,,west region
arizona,3179.474225,no,extended,bachelor,1/21/11,employed,f,65742,urban,married,79,6.0,0,0.0,1,personal auto,personal l3,offer2,call center,277.360797,four-door car,medsize,,central
oregon,6672.127831,no,extended,college,2/13/11,employed,f,56830,urban,married,83,,27,,9,personal auto,personal l1,offer2,agent,319.799712,two-door car,medsize,a,north west
california,16407.66461,no,premium,bachelor,1/12/11,employed,m,22103,rural,single,109,16.0,31,0.0,2,personal auto,personal l2,offer1,agent,160.338007,four-door car,large,,west region
arizona,9371.773682,no,basic,bachelor,2/1/11,employed,f,66325,urban,married,117,10.0,10,0.0,5,corporate auto,corporate l2,offer1,agent,497.719213,suv,medsize,a,central
california,5799.826802,no,basic,college,1/3/11,employed,m,60689,rural,single,74,29.0,67,0.0,7,corporate auto,corporate l2,offer2,branch,5.746657,four-door car,medsize,,west region
oregon,5096.673223,yes,basic,master,1/28/11,disabled,f,22886,suburban,divorced,65,9.0,81,0.0,3,corporate auto,corporate l2,offer1,agent,312.0,four-door car,small,a,north west
washington,7475.784971,no,basic,bachelor,1/26/11,disabled,f,29633,urban,married,196,26.0,57,0.0,1,corporate auto,corporate l3,offer1,agent,534.653787,luxury car,medsize,a,east
oregon,9986.661111,no,extended,high school or below,1/22/11,disabled,m,24067,suburban,single,132,12.0,2,0.0,6,corporate auto,corporate l3,offer2,branch,633.6,sports car,medsize,,north west
california,5568.656492,no,extended,college,2/21/11,employed,f,51489,rural,married,139,14.0,10,0.0,1,personal auto,personal l2,offer1,web,236.739322,suv,medsize,a,west region
california,4014.332715,no,extended,master,2/17/11,employed,f,54054,rural,married,99,7.0,55,0.0,1,personal auto,personal l2,offer2,branch,5.661684,four-door car,medsize,,west region
california,15114.40241,yes,basic,high school or below,1/19/11,medical leave,f,28513,suburban,married,100,4.0,22,1.0,2,corporate auto,corporate l2,offer2,call center,480.0,suv,medsize,a,west region
oregon,2452.977288,no,basic,college,2/14/11,employed,m,79898,urban,married,62,5.0,86,1.0,1,corporate auto,corporate l1,offer4,agent,271.606799,four-door car,medsize,,north west
california,3919.366722,yes,extended,high school or below,1/5/11,employed,f,66676,suburban,married,97,0.0,40,0.0,1,personal auto,personal l1,offer3,agent,558.099357,four-door car,small,,west region
,4716.264294,,basic,high school or below,2/25/11,employed,m,25746,suburban,married,61,0.0,84,1.0,3,corporate auto,corporate l3,offer2,agent,292.8,four-door car,medsize,a,
oregon,12332.51669,no,basic,college,2/28/11,employed,m,85789,rural,married,105,18.0,54,2.0,2,personal auto,personal l1,offer1,agent,122.302824,sports car,medsize,,north west
california,35862.99324,no,extended,high school or below,2/26/11,medical leave,m,26376,suburban,divorced,121,7.0,19,0.0,2,personal auto,personal l3,offer1,agent,580.8,suv,small,,west region
oregon,2398.354197,no,basic,college,2/14/11,disabled,m,14321,suburban,single,65,20.0,72,0.0,1,personal auto,personal l2,offer1,branch,423.823547,four-door car,medsize,a,north west
california,6005.847375,yes,extended,college,2/23/11,retired,m,13528,suburban,single,86,21.0,35,0.0,3,personal auto,personal l3,offer1,agent,412.8,four-door car,medsize,,west region
california,8013.895125,no,basic,bachelor,1/17/11,employed,m,65636,suburban,married,67,15.0,72,0.0,2,personal auto,personal l2,offer2,call center,321.6,four-door car,medsize,,west region
arizona,4834.710493,yes,basic,college,1/31/11,employed,f,38713,suburban,divorced,66,31.0,69,4.0,6,corporate auto,corporate l3,offer2,call center,316.8,four-door car,medsize,a,central
arizona,5525.470004,no,basic,college,2/1/11,employed,f,64816,suburban,married,69,30.0,33,0.0,7,corporate auto,corporate l2,offer3,agent,331.2,four-door car,small,,central
washington,5552.596353,no,basic,high school or below,2/27/11,employed,m,50470,suburban,divorced,71,1.0,87,0.0,8,corporate auto,corporate l2,offer4,call center,377.498287,two-door car,large,a,east
nevada,3842.028065,no,premium,college,1/19/11,disabled,m,27906,suburban,divorced,102,5.0,57,0.0,1,personal auto,personal l3,offer2,call center,489.6,four-door car,medsize,,central
california,5093.379714,no,basic,bachelor,1/6/11,employed,f,91814,urban,married,63,30.0,99,0.0,3,personal auto,personal l1,offer3,call center,167.037619,two-door car,medsize,a,west region
oregon,16794.31422,no,basic,high school or below,2/24/11,employed,f,38399,urban,married,106,12.0,6,0.0,2,personal auto,personal l3,offer2,web,368.890904,suv,medsize,a,north west
oregon,24278.10167,no,extended,master,2/26/11,retired,f,20983,urban,single,97,10.0,52,1.0,2,personal auto,personal l2,offer1,branch,451.751555,four-door car,medsize,a,north west
california,7462.926263,yes,extended,college,1/28/11,employed,f,70263,rural,married,93,30.0,66,0.0,5,personal auto,personal l3,offer2,call center,7.345946,two-door car,small,a,west region
oregon,2891.272351,no,basic,bachelor,2/2/11,employed,f,80590,rural,married,71,4.0,19,0.0,1,corporate auto,corporate l3,offer4,branch,134.158389,four-door car,small,a,north west
washington,11981.98481,yes,basic,master,1/20/11,retired,f,21514,urban,married,62,0.0,59,0.0,2,personal auto,personal l3,offer1,agent,257.248789,two-door car,medsize,,east
california,2347.048112,no,basic,college,2/2/11,employed,m,31617,urban,single,62,17.0,29,1.0,1,personal auto,personal l1,offer1,agent,244.269407,,,a,west region
oregon,4282.947971,yes,basic,college,2/26/11,employed,f,40864,rural,married,109,16.0,70,1.0,1,personal auto,personal l3,offer1,agent,166.937747,suv,medsize,,north west
arizona,5380.898636,yes,basic,college,2/24/11,employed,f,55350,suburban,married,67,0.0,13,0.0,9,personal auto,personal l3,offer1,agent,321.6,four-door car,medsize,,central
oregon,5828.1822,no,basic,college,2/16/11,employed,f,31364,suburban,married,74,28.0,47,0.0,3,personal auto,personal l3,offer2,web,461.269135,four-door car,small,,north west
california,5048.051359,no,extended,high school or below,2/17/11,employed,f,34452,suburban,married,126,2.0,51,0.0,1,personal auto,personal l1,offer4,agent,604.8,suv,large,a,west region
oregon,7737.265103,no,basic,college,1/19/11,employed,f,50296,rural,married,65,26.0,62,1.0,2,personal auto,personal l2,offer1,call center,46.804,two-door car,medsize,a,north west
california,7950.178237,no,basic,high school or below,1/21/11,employed,m,26189,suburban,single,69,6.0,42,0.0,2,personal auto,personal l2,offer3,agent,331.2,four-door car,small,,west region
,4111.888285,,premium,college,1/21/11,employed,f,65085,urban,married,103,20.0,55,0.0,1,personal auto,personal l2,offer2,call center,480.073548,four-door car,medsize,a,
arizona,4873.436612,no,extended,high school or below,1/5/11,retired,f,18866,suburban,married,126,4.0,62,0.0,1,personal auto,personal l2,offer3,call center,604.8,suv,medsize,,central
oregon,4957.033603,no,basic,college,1/15/11,employed,f,62803,suburban,married,62,16.0,12,0.0,5,personal auto,personal l3,offer2,web,400.959425,two-door car,small,a,north west
oregon,2655.864573,no,basic,high school or below,1/4/11,employed,f,83460,suburban,divorced,66,20.0,18,0.0,1,corporate auto,corporate l2,offer2,call center,443.44552,four-door car,medsize,,north west
washington,5898.733666,no,extended,bachelor,2/17/11,employed,f,53998,suburban,divorced,78,5.0,38,5.0,8,personal auto,personal l3,offer1,call center,414.519064,four-door car,medsize,a,east
california,17723.76398,no,extended,college,2/18/11,employed,f,25771,suburban,married,222,21.0,58,0.0,4,personal auto,personal l1,offer1,branch,1253.984948,luxury suv,medsize,,west region
california,5108.038755,no,basic,college,1/9/11,disabled,m,26784,suburban,married,67,14.0,82,0.0,8,corporate auto,corporate l3,offer3,branch,482.4,,,,west region
california,4517.908834,no,basic,bachelor,2/9/11,medical leave,f,25261,suburban,married,118,31.0,9,0.0,1,personal auto,personal l3,offer4,branch,566.4,suv,medsize,,west region
nevada,2773.455358,no,basic,high school or below,1/26/11,employed,f,73478,urban,married,68,2.0,38,0.0,1,personal auto,personal l2,offer2,call center,241.88878,four-door car,medsize,a,central
,6960.920371,,extended,college,2/4/11,employed,m,74487,rural,divorced,88,8.0,86,0.0,3,personal auto,personal l1,offer1,call center,16.711329,four-door car,medsize,,
,5010.37931,,basic,bachelor,1/19/11,employed,f,64014,urban,single,63,,27,,7,corporate auto,corporate l3,offer1,agent,295.871784,four-door car,large,a,
oregon,8488.561363,no,basic,high school or below,1/4/11,employed,f,80213,suburban,married,70,12.0,17,0.0,2,personal auto,personal l3,offer1,branch,440.268527,two-door car,medsize,,north west
washington,2471.528431,yes,basic,high school or below,1/15/11,employed,m,95697,rural,married,61,16.0,55,0.0,1,personal auto,personal l3,offer2,agent,114.273025,two-door car,medsize,a,east
oregon,5876.054314,no,basic,college,2/9/11,employed,f,32848,urban,married,74,,59,,5,personal auto,personal l2,offer3,call center,250.454012,four-door car,medsize,,north west
oregon,3982.180708,no,extended,doctor,1/3/11,employed,f,38500,urban,married,99,26.0,49,1.0,1,corporate auto,corporate l2,offer1,agent,423.286512,four-door car,large,a,north west
california,8237.037945,no,basic,bachelor,1/17/11,medical leave,f,23940,suburban,married,107,13.0,34,0.0,7,personal auto,personal l3,offer1,call center,513.6,suv,small,a,west region
california,12487.58095,no,premium,high school or below,1/11/11,employed,f,31283,suburban,married,104,,3,,2,personal auto,personal l3,offer1,agent,499.2,four-door car,medsize,,west region
california,5583.068307,no,basic,high school or below,2/22/11,employed,f,57925,urban,single,72,33.0,13,1.0,3,corporate auto,corporate l2,offer1,agent,204.620759,two-door car,medsize,,west region
california,7356.559341,no,extended,high school or below,1/9/11,employed,m,81145,urban,married,92,34.0,92,0.0,8,corporate auto,corporate l2,offer2,call center,321.060571,two-door car,large,a,west region
california,10144.3094,no,extended,college,1/29/11,medical leave,f,27231,suburban,married,88,0.0,7,0.0,2,personal auto,personal l2,offer1,branch,422.4,four-door car,medsize,,west region
oregon,8672.194272,no,basic,college,1/26/11,employed,f,22547,suburban,divorced,112,7.0,60,0.0,3,corporate auto,corporate l3,offer1,agent,537.6,suv,medsize,a,north west
california,2674.730716,yes,basic,college,2/15/11,employed,m,56342,suburban,single,69,12.0,89,0.0,1,special auto,special l3,offer2,call center,331.2,four-door car,small,,west region
california,34611.37896,yes,basic,high school or below,1/14/11,employed,f,20090,suburban,married,109,10.0,59,0.0,2,special auto,special l3,offer2,agent,523.2,sports car,medsize,,west region
california,8071.334962,no,basic,bachelor,2/7/11,employed,m,72149,rural,married,101,18.0,43,0.0,6,personal auto,personal l2,offer2,call center,69.310166,suv,medsize,a,west region
nevada,2511.944048,no,basic,college,1/15/11,medical leave,m,17658,suburban,married,65,10.0,44,0.0,1,personal auto,personal l3,offer3,web,312.0,,,a,central
california,7255.714453,no,extended,college,1/5/11,medical leave,m,10710,suburban,married,94,12.0,33,0.0,7,personal auto,personal l2,offer1,branch,451.2,two-door car,small,,west region
arizona,14510.7505,no,basic,high school or below,1/25/11,employed,m,60120,urban,married,182,30.0,21,0.0,6,personal auto,personal l3,offer2,branch,716.469391,luxury car,medsize,a,central
california,11009.13049,yes,premium,bachelor,1/24/11,employed,f,51643,suburban,single,283,16.0,43,0.0,1,corporate auto,corporate l3,offer2,agent,1358.4,luxury car,medsize,,west region
,21991.61598,,basic,college,1/12/11,employed,f,80807,rural,married,109,1.0,73,0.0,2,personal auto,personal l3,offer2,branch,132.139111,suv,large,,
arizona,4633.336334,no,basic,college,1/15/11,medical leave,m,27132,suburban,single,63,32.0,59,1.0,4,personal auto,personal l1,offer1,branch,302.4,four-door car,medsize,a,central
california,5272.518472,no,basic,doctor,2/18/11,employed,m,85607,rural,single,66,26.0,1,0.0,3,personal auto,personal l2,offer2,agent,67.647131,four-door car,medsize,,west region
california,5488.931031,no,basic,high school or below,2/17/11,employed,f,33881,rural,married,68,11.0,83,0.0,9,personal auto,personal l3,offer2,web,65.659137,four-door car,large,a,west region
california,14228.23432,no,extended,bachelor,1/16/11,employed,m,31650,suburban,married,121,25.0,17,0.0,2,personal auto,personal l3,offer1,branch,580.8,suv,medsize,a,west region
arizona,2673.319593,no,basic,master,2/13/11,employed,m,28728,suburban,married,67,8.0,10,0.0,1,personal auto,personal l3,offer4,branch,321.6,four-door car,small,a,central
oregon,5332.462694,yes,basic,doctor,2/22/11,employed,f,68931,urban,married,66,32.0,30,0.0,7,corporate auto,corporate l2,offer2,branch,309.577946,four-door car,medsize,a,north west
arizona,10064.60828,no,extended,high school or below,2/3/11,employed,f,20440,suburban,married,128,11.0,54,2.0,9,corporate auto,corporate l3,offer3,branch,614.4,sports car,medsize,a,central
washington,8972.140307,no,basic,bachelor,1/27/11,employed,m,89689,rural,divorced,74,,4,,2,personal auto,personal l3,offer1,branch,136.829537,four-door car,large,a,east
oregon,3514.212939,no,extended,bachelor,2/23/11,employed,f,73643,rural,single,89,2.0,2,0.0,1,corporate auto,corporate l3,offer2,agent,147.486454,four-door car,medsize,,north west
arizona,2580.849899,yes,basic,college,2/9/11,employed,m,46900,suburban,married,66,13.0,59,0.0,1,personal auto,personal l2,offer2,web,316.8,,,a,central
nevada,46805.22306,no,extended,high school or below,2/25/11,employed,m,83006,urban,married,235,8.0,61,1.0,2,personal auto,personal l1,offer3,agent,1065.049894,luxury suv,small,,central
washington,2666.976685,no,basic,bachelor,2/8/11,employed,f,79251,suburban,married,67,10.0,32,1.0,1,personal auto,personal l3,offer2,web,321.6,four-door car,medsize,,east
california,5823.162917,no,basic,high school or below,1/31/11,employed,f,88359,rural,divorced,73,1.0,49,0.0,9,personal auto,personal l3,offer2,call center,35.915639,two-door car,medsize,a,west region
california,9536.338382,no,extended,bachelor,1/7/11,employed,f,62421,suburban,divorced,80,22.0,50,2.0,2,corporate auto,corporate l3,offer1,call center,384.0,four-door car,medsize,,west region
california,3484.141641,no,extended,bachelor,1/10/11,employed,m,34307,rural,divorced,92,33.0,62,2.0,1,personal auto,personal l3,offer1,call center,186.025014,four-door car,medsize,a,west region
washington,7995.441263,no,basic,high school or below,1/2/11,employed,f,66685,rural,married,67,35.0,50,2.0,2,personal auto,personal l2,offer2,call center,38.763897,two-door car,large,a,east
arizona,11611.94584,no,extended,bachelor,2/11/11,employed,m,28915,suburban,single,76,10.0,49,0.0,2,personal auto,personal l3,offer4,web,364.8,four-door car,medsize,,central
